,1482.75,1490,1501.6,1514.65,1527.7,1532.05,1536.0665,1537.85,1538.459,1539.271,1539.474,1540.3875,1540.75,1541.475,1542.2,1543.65,1550.9,1562.5,1577,1591.5,1606,
1609.6,5,7.5,10,15,15,16,15,20,18,12,15,18,20,20,20,18,18,13,15,6,2,
1606.72,7,,,,,,,,,,,,,,,,,,,,,
1605.064,55,,,,,,,,,,,,,,,,,,,,,
1604.92,30,22,,,,50,,,,,,,,,,,,,,,,
1604.2,15,,,,,,,,,,,,,,,,,,,,,
1603.84,12,,,,,,,,,,,,,,,,,,,,,
1602.4,12,,,,,,,50,,,,,,,,,,,,,,
1596.64,,40,,,,,,,,,,,,,,,,,,,,
1596.136,,105,,,,,,,,,,,,,,,,,,,,
1595.632,,175,,,,,,,,,,,,,,,,,,,,
1595.2,22,150,60,80,100,90,85,95,100,75,85,90,100,100,100,80,100,80,60,35,8,
1595.056,,75,,,,,,,,,,,,,,,,,,,,
1582.24,,,75,,,,,,,,,,,,,,,,,,,
1580.8,30,50,275,100,150,125,150,120,125,100,110,135,125,150,160,120,150,125,65,45,10,
1580.656,,,315,,,,,,,,,,,,,,,,,,,
1580.584,,,175,,,,,,,,,,,,,,,,,,,
1580.08,,,95,,,,,,,,,,,,,,,,,,,
1573.6,,,110,,,,,,,,,,,,,,,,,,,
1566.4,45,75,100,180,175,175,170,175,175,175,175,170,173,175,200,165,180,150,100,65,12,
1566.04,,,,400,,,,,,,,,,,,,,,,,,
1565.824,,,,500,,,,,,,,,,,,,,,,,,
1565.68,,,,450,,,,,,,,,,,,,,,,,,
1559.2,,,,175,,,,,,,,,,,,,,,,,,
1553.44,,,,,200,,,,,,,,,,,,,,,,,
1552.36,,,,,430,,,,,,,,,,,,,,,,,
1552,60,90,135,175,675,210,200,210,225,195,190,210,200,200,260,250,220,180,100,75,15,
1551.64,,,,,525,,,,,,,,,,,,,,,,,
1551.136,,,,,205,,,,,,,,,,,,,,,,,
1550.56,,,,,,210,,,,,,,,,,,,,,,,
1549.12,,,,,,225,,,,,,,,,,,,,,,,
1547.68,,,,,,650,,,,,,,,,,,,,,,,
1547.6224,,,,,,740,,,,,,,,,,,,,,,,
1547.176,,,,,,460,,,,,,,,,,,,,,,,
1546.96,,,,,,370,,,,,,,,,,,,,,,,
1546.24,,,,,,230,,,,,,,,,,,,,,,,
1544.8,,90,135,,210,210,230,215,225,220,,230,,230,250,250,250,180,90,,,
1543.6768,,,,,,,500,,,,,,200,,,,,,,,,
1543.36,,,,,,200,750,,,,200,,,,,,,,,,,
1542.64,,,,,,,520,,,,,,,,,,,,,,,
1541.92,,,,,,,200,250,220,220,200,,,,,,,,,,,
1541.56,,,,,,,,510,280,220,,,,,,,,,,,,
1541.1712,,,,,,,,720,630,350,210,,,,,,,,,,,
1541.0272,,,,,,,,,720,,,,,,,,,,,,,
1540.84,,,,,,,,450,600,,210,,,,,,,,,,,
1540.4944,,,,,,,,,,,,,,,,,,,,,,
1540.48,,,,,,,,,300,600,275,200,,,,,,,,,,
1540.48,,,,200,,200,,175,,,,,200,225,,,,,130,,,
1540.2928,,,,,,,,,,,,,205,,,,,,,,,
1540.264,,,,,,,,,200,700,475,,,,,,,,,,,
1540.192,,,,,,,,,,,700,,,,,,,,,,,
1539.688,,,,,,,,200,,210,350,550,,,,,,,,,,
1539.5008,,,,,,,,,,,,680,,,,,,,,,,
1539.4,,,,,,,,200,,200,,775,450,,,,,,,,,
1539.04,,,,,,,,,,,,650,,,,,,,,,,
1539.04,,,,,,,,,,220,250,,700,,250,250,230,200,150,,,
1538.824,,,,,,,,,,,,400,,450,,,,,,,,
1538.7808,,,,,,,,,,,,,,705,,,,,,,,
1538.68,,,,,,,,,,,,290,500,,,,,,,,,
1538.32,,,,,,,,,,,,220,230,,,,,,,,,
1538.104,,,,,,,,,,,,220,,,450,,,,,,,
1537.96,,,,,,,,,,,,,,390,,,,,,,,
1537.6288,,,,,,,,,,,,,,,705,,,,,,,
1537.6,60,90,145,180,240,200,225,235,225,215,210,210,225,225,700,250,225,200,120,100,15,
1537.24,,,,,,,,,,,,,,,400,,,,,,,
1536.88,,,,,,,,,,,,,,,,220,,,,,,
1536.52,,,,,,,,,,,,,,,,475,,,,,,
1536.2392,,,,,,,,,,,,,,,,695,,,,,,
1535.368,,,,,,,,,,,,,,,,390,,,,,,
1535.296,,,,,,,,,,,,,,,,200,,,,,,
1530.4,,,,,,,,,,,,,,,200,200,200,,,,,
1529.68,,,,,,,,,,,,,,,,,400,,,,,
1529.32,,,,,,,,,,,,,,,,,625,,,,,
1528.96,,,,,,,,,,,,,,,,,400,,,,,
1523.2,45,80,120,165,182,195,200,190,180,180,180,190,195,200,220,220,200,150,115,90,15,
1520.32,,,,,,,,,,,,,,,,,,150,,,,
1519.6288,,,,,,,,,,,,,,,,,,275,,,,
1519.312,,,,,,,,,,,,,,,,,,430,,,,
1519.6,,,,,,,,,,,,,,,,,,240,,,,
1518.16,,,,,,,,,,,,,,,,,,135,,,,
1513.84,,,,,,,,,,,,,,,,,,,90,,,
1510.24,,,,,,,,,,,,,,,,,,,85,,,
1508.8,25,55,75,115,125,135,110,145,130,112,144,140,130,160,160,160,170,145,100,75,10,
1507.36,,,,,,,,,,,,,,,,,,,190,,,
1505.92,,,,,,,,,,,,,,,,,,,75,,,
1504.48,,,,,,,,,,,,,,,,,,,60,,,
1497.28,,,,,,,,,,,,,,,,,,,,40,,
1495.84,,,,,,,,,,,,,,,,,,,,200,,
1495.48,,,,,,,,,,,,,,,,,,,,120,,
1494.976,,,,,,,,,,,,,,,,,,,,,,
1494.4,20,30,60,70,80,80,70,75,80,75,85,95,100,100,110,100,100,85,60,45,8,
1487.2,,,,,,,,,,,,,55,,,,,,15,10,4,
1486.48,,,,,,,,,,,,,,,,,,,,,4,
1485.76,,,,,,,,,,,,,,,,,,,,,12,
1485.472,,,,,,,,,,,,,,,,,,,,,22.5,
1485.4,,,,,,,,,,,,,,,,,,,,,25,
1485.328,,,,,,,,,,,,,,,,,,,,,19,
1485.04,,,,,,55,,,,,,,,,,,,,,,10,
1484.32,,,,,,,,,,,,,,,,,,,,,2.5,
1483.6,,,,,,,12,,,40,,,,,,,,,,,,
1480,7.5,10,12,20,25,20,,25,25,,25,25,40,25,30,25,30,25,20,12,2,
