,central,sigma_xy_Up,sigma_xy_Dw
0,0.09156319152703356,0.08787112380901739,0.09667411248332504
1,0.0908889508658224,0.08671134885177656,0.09627662482078665
2,0.07448543099606601,0.0737058094919918,0.07666083008110935
3,0.07348472832835236,0.07151541868379349,0.07623528451316282
4,0.06496772452548201,0.06532485317954115,0.06486107327415516
5,0.0623907254149523,0.061427577028251724,0.06366584796408892
6,0.056775982242507524,0.056745645892864335,0.05578735502548223
7,0.053084225014829026,0.052641124892007486,0.05339926338919379
8,0.048842446723225,0.048607264909641214,0.048377968088700075
9,0.04499438189104425,0.04477051736034563,0.04490373235175332
10,0.04120287282801372,0.04109249879822681,0.040880586567093605
11,0.03761448292314407,0.03758800048868376,0.037304438115202884
12,0.03417890635567579,0.03424951074086379,0.033777685957987726
13,0.03090755018247665,0.031075095719987234,0.030440160727429427
14,0.0277990695521084,0.028064456944215905,0.02725067124611775
15,0.02485766936580445,0.025217412327307405,0.024234499233667814
16,0.02208479683063347,0.022534211983527147,0.021389181310276964
17,0.019482838729845277,0.0200150399797355,0.018721016190296168
18,0.017054268056961995,0.017660538337571315,0.016234533282376225
19,0.014801311382757263,0.015471014868656879,0.013934490426722916
20,0.012725728900018694,0.013446701300718029,0.011824708685855445
21,0.010829220330334047,0.011587495159283026,0.00990956609241683
22,0.009113368735813534,0.009893208755517705,0.00819336976451326
23,0.007579123678278453,0.008363250134560575,0.006678890686374036
24,0.006225626707133927,0.006996233605171846,0.0053651614978563605
25,0.005049154211427881,0.005789222016654002,0.004246228912126826
26,0.004042409510470836,0.004737140597615378,0.003310852226723884
27,0.003194595479322422,0.003832444705920744,0.002543386602150877
28,0.002491982955261949,0.0030652197149424357,0.0019251393641685171
29,0.0019188879941218703,0.0024236143830525286,0.001435964550558746
30,0.0014586803990610856,0.0018944750828166356,0.0010556338578463036
31,0.0010947480553767388,0.0014640500206913188,0.0007649459000124667
32,0.0008112403173548293,0.0011186326791834337,0.0005464538622087454
33,0.0005936172926637836,0.000845103898946777,0.0003848940704301941
34,0.00042896748966837214,0.0006313212428786391,0.0002673325886859669
35,0.0003061571866977891,0.000466376551758003,0.0001831243341049365
36,0.0002158278604460239,0.00034071937349073353,0.00012373234677557287
37,0.00015029925557705621,0.00024618431479550595,8.247555998408696e-05
38,0.00010340355757549336,0.0001759368637286742,5.424166091700598e-05
39,7.028925833746365e-05,0.00012437065477886956,3.5202116649879066e-05
40,4.721308652007917e-05,8.69711965839713e-05,2.2547250680449556e-05
41,3.1340269140490684e-05,6.016770687809024e-05,1.4255055996821095e-05
42,2.0561560524047467e-05,4.118281573430638e-05,8.897220413117079e-06
43,1.3334281827061574e-05,2.789131800552879e-05,5.482887788472837e-06
44,8.548487473632929e-06,1.8692094393232905e-05,3.336500614512851e-06
