Ci_multi,Ci_multi_err,Ci_single,Ci_single_err,Ci_tot,Ci_tot_err,Ci1_thr,Ci1_thr_err,Ci1_pnr,Ci1_pnr_err,Ci12_thr,Ci12_thr_err,Ci12_pnr,Ci12_pnr_err,Ci2_thr,Ci2_thr_err,Ci2_pnr,Ci2_pnr_err,C1_tot,C1_tot_err,C12,C12_err,C2_tot,C2_tot_err,shg_current
181691.0,426.2522727,381195.0,617.4099125,562886.0,750.2572892,245000.0,494.9747468,152500.0,390.5124838,110000.0,331.662479,60000.0,244.9489743,272000.0,521.5361924,170000.0,412.3105626,369555.0,607.9103552,144000.0,379.4733192,415256.0,644.4036002,0.8275
237824.0,487.6720209,393407.0,627.2216514,631231.0,794.500472,306000.0,553.1726674,172500.0,415.3311931,156000.0,394.9683532,78000.0,279.2848009,335000.0,578.7918451,192500.0,438.7482194,427077.0,653.5112853,195000.0,441.5880433,474802.0,689.0587783,0.84
289754.0,538.288027,392027.0,626.1205954,681781.0,825.7003088,361500.0,601.2487006,188000.0,433.5896678,202500.0,450.0,93000.0,304.9590136,390000.0,624.4997998,208000.0,456.07017,473014.0,687.7601326,246000.0,495.9838707,521774.0,722.3392555,0.85
333645.0,577.6201174,386281.0,621.5150843,719926.0,848.4845314,402500.0,634.428877,195000.0,441.5880433,240000.0,489.8979486,103000.0,320.9361307,442500.0,665.2067348,214500.0,463.1414471,508853.0,713.3393302,285000.0,533.8539126,557840.0,746.8868723,0.855
385460.0,620.8542502,378230.0,615.004065,763690.0,873.8935862,465000.0,681.9090848,210000.0,458.2575695,299000.0,546.8089246,124000.0,352.1363372,500000.0,707.1067812,230000.0,479.5831523,573134.0,757.0561406,356500.0,597.0762095,619257.0,786.9288405,0.865
426635.0,653.1730246,361624.0,601.3518105,788259.0,887.8395125,487500.0,698.2120022,202500.0,450.0,322000.0,567.4504384,119000.0,344.9637662,530000.0,728.0109889,222000.0,471.1687596,582008.0,762.8944881,367500.0,606.2177826,632452.0,795.2685081,0.8725
517637.0,719.4699438,330924.0,575.2599412,848561.0,921.1737078,570000.0,754.9834435,199000.0,446.0941605,405000.0,636.3961031,126000.0,354.964787,610000.0,781.0249676,215500.0,464.2197755,647976.0,804.9695646,450000.0,670.8203932,697529.0,835.1820161,0.875
596021.0,772.0239634,297434.0,545.3751003,883455.0,939.9228692,637500.0,798.4359711,186000.0,431.2771731,490000.0,700.0,129000.0,359.1656999,680000.0,824.6211251,201000.0,448.3302354,699773.0,836.5243571,530000.0,728.0109889,746701.0,864.1186261,0.89
702930.0,838.409208,227944.0,477.4348123,930874.0,964.8181176,725000.0,851.4693183,161500.0,401.8706259,595000.0,771.362431,120000.0,346.4101615,765000.0,874.6427842,172500.0,415.3311931,772649.0,879.0045506,625000.0,790.569415,817419.0,904.1122718,0.9
801882.0,895.478643,160762.0,400.9513686,962644.0,981.14423,815000.0,902.7735043,124000.0,352.1363372,715000.0,845.5767263,100000.0,316.227766,850000.0,921.9544457,130000.0,360.5551275,838170.0,915.5162478,730000.0,854.4003745,873340.0,934.5266181,0.92
902625.0,950.0657872,82808.0,287.763792,985433.0,992.6897803,900000.0,948.6832981,71000.0,266.4582519,836000.0,914.3303561,61500.0,247.9919354,920000.0,959.1663047,73500.0,271.1088342,907191.0,952.4657474,845000.0,919.2388155,930303.0,964.5221615,0.965
962408.0,981.0239549,43147.0,207.7185596,1005555.0,1002.773653,945000.0,972.1111048,38500.0,196.2141687,910000.0,953.9392014,35000.0,187.0828693,960000.0,979.7958971,39000.0,197.4841766,955480.0,977.4865728,915000.0,956.5563235,971453.0,985.6231531,0.995
997930.0,998.9644638,4894.0,69.95712973,1002824.0,1001.411005,990000.0,994.9874371,4800.0,69.2820323,985000.0,992.4716621,4800.0,69.2820323,992000.0,995.9919678,4900.0,70.0,990686.0,995.3321054,990000.0,994.9874371,995789.0,997.8922788,1.07
996279.0,998.137766,3147.0,56.09812831,999426.0,999.7129588,985000.0,992.4716621,3250.0,57.00877125,984000.0,991.9677414,3250.0,57.00877125,998000.0,998.9994995,3300.0,57.44562647,992298.0,996.1415562,985000.0,992.4716621,994667.0,997.3299354,1.09
999826.0,999.9129962,2798.0,52.89612462,1002624.0,1001.31114,995000.0,997.4968672,2800.0,52.91502622,980000.0,989.9494937,2700.0,51.96152423,998000.0,998.9994995,2800.0,52.91502622,996250.0,998.1232389,985000.0,992.4716621,996331.0,998.1638142,1.095
1008687.0,1004.334108,1830.0,42.77849927,1010517.0,1005.244746,995000.0,997.4968672,1850.0,43.01162634,995000.0,997.4968672,1830.0,42.77849927,997500.0,998.7492178,1950.0,44.15880433,1005803.0,1002.897303,996000.0,997.997996,1005335.0,1002.663952,1.115
1005769.0,1002.880352,870.0,29.49576241,1006639.0,1003.314009,996000.0,997.997996,875.0,29.58039892,994000.0,996.9954864,790.0,28.10693865,1000000.0,1000.0,850.0,29.15475947,1003699.0,1001.847793,995000.0,997.4968672,1004109.0,1002.052394,1.145
998465.5,315.9850471,146.4,3.826225294,998611.9,316.0082119,998000.0,998.9994995,155.0,5.567764363,995000.0,997.4968672,163.2,5.713142743,999000.0,999.4998749,159.0,5.639148872,998530.0,315.9952531,1001000.0,1000.499875,996666.3,315.7002217,1.145
1008010.0,1003.997012,20.86666667,0.8339997335,1008032.0,1004.007968,997500.0,998.7492178,27.93333333,0.9649409884,1000000.0,1000.0,28.26666667,0.9706813186,1000000.0,1000.0,27.0,0.9486832981,1008552.0,1004.266897,1005000.0,1002.496883,1006310.0,1003.150039,1.16
1014329.0,1007.139017,347.0,18.62793601,1014676.0,1007.311273,997000.0,998.4988733,350.0,18.70828693,995000.0,997.4968672,345.0,18.57417562,1000000.0,1000.0,360.0,18.97366596,1012181.0,1006.072065,996000.0,997.997996,1009068.0,1004.523768,1.175
